from_stop_id,to_stop_id,transfer_type,min_transfer_time
4767079,4843526,2,41
3785973,4843530,2,109
4843412,3893384,2,18
4767079,4843527,2,29
4843412,3893387,2,83
4843803,4798882,2,67
4471836,4843408,2,56
4378396,4843522,2,15
4843410,3893382,2,50
4843824,4439471,2,104
4843807,3813535,2,71
3785917,4843530,2,109
4843471,4439446,2,47
4843442,3781651,2,69
4843442,3781650,2,95
4473610,4843442,2,95
3785808,4843828,2,101
4843808,3893387,2,90
4378368,4843521,2,74
4471821,4843824,2,104
4843528,4439478,2,66
4471752,4843824,2,77
4843528,4439474,2,119
4843824,4439482,2,31
4471836,4843407,2,67
4843824,4439481,2,77
4843803,4798880,2,67
4843803,4798881,2,67
4843813,2301,2,220
4843413,3893387,2,90
4473608,4843813,2,26
4473610,4843453,2,98
4471836,4843805,2,67
4843406,1166826,2,248
4843406,1166827,2,248
4843404,3926345,2,94
4843405,1166827,2,217
4843405,1166826,2,217
4843403,3786140,2,102
4471834,4843807,2,81
4471834,4843808,2,90
4843475,4677764,2,130
4843475,4677763,2,108
4843406,3893479,2,79
4843805,3765301,2,72
4843823,4439483,2,20
4843803,3786140,2,102
4843500,4439479,2,21
4843804,3926345,2,101
4843475,4439448,2,31
4843812,3781650,2,95
4843812,3781651,2,69
4843512,4439473,2,21
4843475,4439449,2,130
4843803,3786148,2,102
4843404,4798882,2,98
4439616,4843527,2,35
4843404,4798881,2,98
4843404,4798880,2,98
4843828,4439452,2,101
4843470,4439484,2,47
4843403,3786148,2,102
4439616,4843526,2,54
4843474,4439449,2,104
4473611,4843442,2,69
4473611,4843812,2,69
4471740,4843414,2,96
4473611,4843813,2,102
4471740,4843412,2,61
4471740,4843411,2,48
4843474,4677764,2,104
4843474,4677763,2,77
4843472,4439483,2,20
4378398,4843831,2,110
4843513,4439474,2,101
4843474,4677667,2,77
4471835,4843409,2,50
4843404,3893477,2,36
4843404,3893478,2,63
4843474,4439471,2,104
3785808,4843513,2,101
4378397,4843832,2,74
3785818,4843469,2,42
3785818,4843468,2,32
4843527,4284923,2,36
4843527,4284924,2,31
4473607,4843456,2,45
4843808,3813534,2,102
4439552,4843526,2,41
4843822,4439468,2,32
4439552,4843527,2,29
4843513,4439478,2,58
4843828,4439478,2,58
4843806,3893383,2,50
4843828,4439474,2,101
3785972,4843454,2,69
4471752,4843475,2,108
4471752,4843474,2,77
3785972,4843455,2,56
3785810,4843513,2,58
4843513,4439452,2,101
3785812,4843512,2,21
4767097,4843527,2,35
4843403,3926345,2,54
4843804,3893480,2,79
4767097,4843526,2,54
4843455,3781649,2,26
4843405,3926345,2,101
4843813,3781651,2,102
4843407,3765263,2,31
4843407,3893381,2,67
4843409,3893383,2,50
4843805,3765263,2,31
4843474,4677693,2,77
3785811,4843500,2,21
4843474,4677694,2,104
4843412,3813534,2,106
4843412,3813535,2,59
3785810,4843528,2,66
4843414,3813535,2,67
4843474,4439482,2,31
4843414,3813534,2,45
4843474,4439481,2,77
4843455,3781651,2,90
4843813,3781648,2,26
4843405,3893480,2,79
4843407,3765301,2,72
4843824,4677694,2,104
4843408,3893481,2,82
3785817,4843822,2,51
4473663,4843454,2,26
3785915,4843454,2,69
4378396,4843833,2,15
3785915,4843455,2,56
4843803,3926345,2,54
3785972,4843813,2,69
3785916,4843812,2,67
4378367,4843519,2,60
4843805,3893381,2,67
4843411,3813535,2,71
4843455,1871,2,225
4473611,4843455,2,90
4473611,4843454,2,102
4473611,4843453,2,97
3785818,4843822,2,32
3785916,4843442,2,67
4843804,4798880,2,73
4471834,4843411,2,81
4843804,4798881,2,73
4471834,4843412,2,83
4843804,4798882,2,73
4471834,4843413,2,90
4471834,4843414,2,43
4473664,4843812,2,95
4843512,4439451,2,21
3785817,4843469,2,59
3785817,4843468,2,51
4843804,3887747,2,94
4378369,4843523,2,15
4843414,3893386,2,63
4843414,3893387,2,43
4843455,2301,2,225
4843813,1871,2,220
4843824,4677693,2,77
